en_phrase	fr_phrase	combo	coverage	fluency
Humpty Dumpty	un petit un petit	0.549	0.92	0.855
Humpty Dumpty sat on a wall	un petit un petit et on éole	0.521	0.90	0.703
Hickory dickory dock	écris critiques	0.608	0.85	0.372
Jack and Jill	chacun des il	0.453	0.91	0.580
Jack and Jill went up the hill	chacun des loin types elle	0.483	0.82	0.440
little Jack Horner	lord licorne	0.580	0.85	0.356
twinkle twinkle little star	soin collent un gauloises tard	0.479	0.87	0.249
hey diddle diddle	et est elles est elle	0.498	0.85	0.652
the cat and the fiddle	débat n devaient elle	0.515	1.00	0.482
rain rain go away	rien rien corée	0.520	0.80	0.424
Jack be nimble	déclin un bel	0.495	0.92	0.621
old mother Hubbard	osent mais apte	0.468	0.82	0.289
little Miss Muffet	déroulement met êtes	0.478	1.00	0.387
Mary had a little lamb	médias linoléum	0.450	0.88	0.173
rock a bye baby	rentabilité	0.463	0.83	0.284
pat a cake pat a cake	peut équipement équipe	0.466	0.88	0.450
of the	aux de	0.460	1.00	0.667
in the	un de	0.552	1.00	0.871
to the	taux a	0.512	1.00	0.727
to be	tenu	0.608	1.00	0.474
it was	est rose	0.468	1.00	0.610
and the	n de	0.597	1.00	0.738
it is	grise	0.498	1.00	0.304
of his	aux aise	0.525	0.80	0.374
on the	on ne	0.552	1.00	0.918
from the	frein de	0.674	1.00	0.550
at the	et de	0.524	1.00	0.964
by the	bas est	0.637	0.80	0.471
with the	ouais se	0.570	1.00	0.767
for the	front	0.486	1.00	0.476
had been	est bonne	0.502	0.83	0.817
that the	et de	0.466	0.80	0.964
he was	louise	0.478	0.80	0.476
that he	d qui	0.490	1.00	0.698
of my	aux ma	0.479	0.80	0.518
in his	on use	0.496	0.80	0.699
he had	liquide	0.458	1.00	0.405
upon the	pan de	0.530	0.83	0.557
have been	aux fine	0.464	0.83	0.516
all the	hors a	0.482	1.00	0.634
the whale	cellules	0.474	0.83	0.401
to me	tenu	0.638	1.00	0.474
as the	aux de	0.482	1.00	0.667
one of	on ève	0.507	0.80	0.507
the same	ces aimes	0.572	0.83	0.464
could not	con as	0.517	0.83	0.663
to his	taxe	0.494	0.80	0.420
did not	d notes	0.578	1.00	0.607
out of	arrive	0.637	0.80	0.459
she was	chili	0.594	0.80	0.317
and then	un jeune	0.483	1.00	0.867
she had	viande	0.476	0.80	0.424
in my	on ma	0.555	0.80	0.699
but the	bout de	0.588	1.00	0.887
do not	don a	0.503	0.80	0.753
there was	service	0.495	1.00	0.594
there is	terrain	0.496	0.80	0.522
was the	ouais se	0.590	1.00	0.767
mr darcy	mais stars et	0.561	1.00	0.538
is the	aux de	0.467	1.00	0.667
of this	as s	0.461	1.00	0.838
as to	aux tout	0.623	1.00	0.539
to her	tenait	0.621	1.00	0.333
you have	grave	0.454	0.80	0.509
that it	d hôte	0.474	1.00	0.767
and that	en dites	0.500	0.83	0.767
was not	les notes	0.489	1.00	0.798
of it	aux êtes	0.533	1.00	0.453
the first	déteste	0.572	1.00	0.430
the most	chimiste	0.544	0.86	0.200
the ship	rechute	0.458	1.00	0.145
in this	ils s	0.478	1.00	0.867
you are	voire	0.478	1.00	0.476
the sea	ceci	0.755	1.00	0.270
to my	tenant	0.622	0.80	0.316
as he	aux qui	0.467	1.00	0.580
you will	nouvel	0.474	1.00	0.489
would be	vous dit	0.494	1.00	0.871
that she	et j	0.478	0.80	0.848
that you	d où	0.497	0.80	0.608
with his	les use	0.481	0.83	0.624
of all	aux elle	0.518	1.00	0.530
he is	crise	0.476	1.00	0.501
that is	d use	0.486	1.00	0.635
to have	trêve	0.569	0.80	0.284
is not	n êtes	0.494	1.00	0.817
to see	t et	0.525	1.00	0.662
